Work Item Type,Title 1,Title 2,Title 3,Title 4,State,Description,Acceptance Criteria,Tags
Task,,,,Draft/build artifact for Document DAX measure definitions,New,Create the first complete version of the artifact or implementation for Document DAX measure definitions.,,ClinicalPulse; Sprint-6; Phase-6; E06; F06.01; DAX; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
Task,,,,Validate and document Document DAX measure definitions,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Document DAX measure definitions.",,ClinicalPulse; Sprint-6; Phase-6; E06; F06.01; DAX; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
Task,,,,Commit and link implementation evidence for Document DAX measure definitions,New,"Commit related code/docs, reference the Azure Boards work item in the commit, and capture validation notes for Document DAX measure definitions.",,ClinicalPulse; Sprint-6; Phase-6; E06; F06.01; DAX; Evidence; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
User Story,,,Validate DAX measures against SQL outputs,,New,"As a BI developer, I want validate dax measures against sql outputs so that Power BI KPI outputs reconcile to SQL validation queries.",Deliverable exists at docs/powerbi_validation_log.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-6; Phase-6; E06; F06.01; Validation; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
Task,,,,Draft/build artifact for Validate DAX measures against SQL outputs,New,Create the first complete version of the artifact or implementation for Validate DAX measures against SQL outputs.,,ClinicalPulse; Sprint-6; Phase-6; E06; F06.01; Validation; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
Task,,,,Validate and document Validate DAX measures against SQL outputs,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Validate DAX measures against SQL outputs.",,ClinicalPulse; Sprint-6; Phase-6; E06; F06.01; Validation; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
Task,,,,Commit and link implementation evidence for Validate DAX measures against SQL outputs,New,"Commit related code/docs, reference the Azure Boards work item in the commit, and capture validation notes for Validate DAX measures against SQL outputs.",,ClinicalPulse; Sprint-6; Phase-6; E06; F06.01; Validation; Evidence; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
Feature,,Dashboard Pages,,,New,Create stakeholder-facing dashboard pages for core operational use cases.,"Feature is complete when dashboard pages for Executive Overview, Patient Flow/LOS, Readmissions, Conditions & Procedures, Lab Operations, Data Quality/Governance, and FHIR API demonstration are built and screenshot evidence exists.",ClinicalPulse; Sprint-6; Phase-6; E06; F06.02; Dashboard; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
User Story,,,Build Executive Overview dashboard page,,New,"As a executive viewer, I want build executive overview dashboard page so that high-level operational health, KPI trends, and data quality score are visible.",Deliverable exists at powerbi/screenshots/executive_overview.png; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-6; Phase-6; E06; F06.02; Dashboard; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
Task,,,,Draft/build artifact for Build Executive Overview dashboard page,New,Create the first complete version of the artifact or implementation for Build Executive Overview dashboard page.,,ClinicalPulse; Sprint-6; Phase-6; E06; F06.02; Dashboard; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
Task,,,,Validate and document Build Executive Overview dashboard page,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Build Executive Overview dashboard page.",,ClinicalPulse; Sprint-6; Phase-6; E06; F06.02; Dashboard; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
User Story,,,Build Patient Flow and LOS dashboard pages,,New,"As a operational manager, I want build patient flow and los dashboard pages so that encounter volume, LOS distribution, and long-stay indicators can be explored.",Deliverable exists at powerbi/screenshots/patient_flow.png; powerbi/screenshots/length_of_stay.png; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-6; Phase-6; E06; F06.02; Patient-Flow; LOS; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
Task,,,,Draft/build artifact for Build Patient Flow and LOS dashboard pages,New,Create the first complete version of the artifact or implementation for Build Patient Flow and LOS dashboard pages.,,ClinicalPulse; Sprint-6; Phase-6; E06; F06.02; Patient-Flow; LOS; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
Task,,,,Validate and document Build Patient Flow and LOS dashboard pages,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Build Patient Flow and LOS dashboard pages.",,ClinicalPulse; Sprint-6; Phase-6; E06; F06.02; Patient-Flow; LOS; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
User Story,,,Build Readmissions dashboard page,,New,"As a operational manager, I want build readmissions dashboard page so that 30-day readmission count/rate and days-to-readmission patterns are visible.",Deliverable exists at powerbi/screenshots/readmissions.png; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-6; Phase-6; E06; F06.02; Readmissions; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
Task,,,,Draft/build artifact for Build Readmissions dashboard page,New,Create the first complete version of the artifact or implementation for Build Readmissions dashboard page.,,ClinicalPulse; Sprint-6; Phase-6; E06; F06.02; Readmissions; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
Task,,,,Validate and document Build Readmissions dashboard page,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Build Readmissions dashboard page.",,ClinicalPulse; Sprint-6; Phase-6; E06; F06.02; Readmissions; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
User Story,,,Build Conditions and Procedures dashboard page,,New,"As a operational manager, I want build conditions and procedures dashboard page so that case mix and utilization patterns are visible.",Deliverable exists at powerbi/screenshots/conditions_procedures.png; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-6; Phase-6; E06; F06.02; Utilization; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
Task,,,,Draft/build artifact for Build Conditions and Procedures dashboard page,New,Create the first complete version of the artifact or implementation for Build Conditions and Procedures dashboard page.,,ClinicalPulse; Sprint-6; Phase-6; E06; F06.02; Utilization; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
Task,,,,Validate and document Build Conditions and Procedures dashboard page,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Build Conditions and Procedures dashboard page.",,ClinicalPulse; Sprint-6; Phase-6; E06; F06.02; Utilization; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
User Story,,,Build Lab / Observation Operations dashboard page,,New,"As a operational manager, I want build lab / observation operations dashboard page so that observation volume, top observation codes, and trends are visible.",Deliverable exists at powerbi/screenshots/lab_operations.png; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-6; Phase-6; E06; F06.02; Lab-Operations; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
Task,,,,Draft/build artifact for Build Lab / Observation Operations dashboard page,New,Create the first complete version of the artifact or implementation for Build Lab / Observation Operations dashboard page.,,ClinicalPulse; Sprint-6; Phase-6; E06; F06.02; Lab-Operations; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
Task,,,,Validate and document Build Lab / Observation Operations dashboard page,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Build Lab / Observation Operations dashboard page.",,ClinicalPulse; Sprint-6; Phase-6; E06; F06.02; Lab-Operations; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
User Story,,,Build Data Quality and Governance dashboard page,,New,"As a data steward, I want build data quality and governance dashboard page so that quality rule status, scorecard ratings, and KPI documentation status are visible.",Deliverable exists at powerbi/screenshots/data_quality_governance.png; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-6; Phase-6; E06; F06.02; Governance; Reporting-Trust; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
Task,,,,Draft/build artifact for Build Data Quality and Governance dashboard page,New,Create the first complete version of the artifact or implementation for Build Data Quality and Governance dashboard page.,,ClinicalPulse; Sprint-6; Phase-6; E06; F06.02; Governance; Reporting-Trust; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
Task,,,,Validate and document Build Data Quality and Governance dashboard page,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Build Data Quality and Governance dashboard page.",,ClinicalPulse; Sprint-6; Phase-6; E06; F06.02; Governance; Reporting-Trust; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
Task,,,,Commit and link implementation evidence for Build Data Quality and Governance dashboard page,New,"Commit related code/docs, reference the Azure Boards work item in the commit, and capture validation notes for Build Data Quality and Governance dashboard page.",,ClinicalPulse; Sprint-6; Phase-6; E06; F06.02; Governance; Reporting-Trust; Evidence; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
User Story,,,Build FHIR API Demonstration dashboard page,,New,"As a interoperability reviewer, I want build fhir api demonstration dashboard page so that FHIR mapping coverage and sample API evidence are visible.",Deliverable exists at powerbi/screenshots/fhir_api_demo.png; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-6; Phase-6; E06; F06.02; FHIR; API; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
Task,,,,Draft/build artifact for Build FHIR API Demonstration dashboard page,New,Create the first complete version of the artifact or implementation for Build FHIR API Demonstration dashboard page.,,ClinicalPulse; Sprint-6; Phase-6; E06; F06.02; FHIR; API; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
Task,,,,Validate and document Build FHIR API Demonstration dashboard page,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Build FHIR API Demonstration dashboard page.",,ClinicalPulse; Sprint-6; Phase-6; E06; F06.02; FHIR; API; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
Feature,,Report Polish and Evidence,,,New,Prepare dashboard evidence for portfolio review.,"Feature is complete when dashboard screenshots, interpretation notes, UX/accessibility checks, and validation evidence make the report understandable to portfolio reviewers and stakeholders.",ClinicalPulse; Sprint-6; Phase-6; E06; F06.03; Report; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
User Story,,,Create screenshot documentation,,New,"As a portfolio reviewer, I want create screenshot documentation so that dashboard pages are captured and described in documentation.",Deliverable exists at powerbi/screenshots/; docs/dashboard_walkthrough.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-6; Phase-6; E06; F06.03; Screenshots; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
Task,,,,Draft/build artifact for Create screenshot documentation,New,Create the first complete version of the artifact or implementation for Create screenshot documentation.,,ClinicalPulse; Sprint-6; Phase-6; E06; F06.03; Screenshots; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
Task,,,,Validate and document Create screenshot documentation,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Create screenshot documentation.",,ClinicalPulse; Sprint-6; Phase-6; E06; F06.03; Screenshots; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
User Story,,,Write dashboard interpretation notes,,New,"As a stakeholder, I want write dashboard interpretation notes so that a non-technical reviewer can understand how to read each dashboard page.",Deliverable exists at docs/dashboard_walkthrough.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-6; Phase-6; E06; F06.03; Stakeholder-Comms; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
Task,,,,Draft/build artifact for Write dashboard interpretation notes,New,Create the first complete version of the artifact or implementation for Write dashboard interpretation notes.,,ClinicalPulse; Sprint-6; Phase-6; E06; F06.03; Stakeholder-Comms; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
Task,,,,Validate and document Write dashboard interpretation notes,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Write dashboard interpretation notes.",,ClinicalPulse; Sprint-6; Phase-6; E06; F06.03; Stakeholder-Comms; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
User Story,,,Finalize report UX and accessibility checks,,New,"As a BI developer, I want finalize report ux and accessibility checks so that dashboard pages are readable, consistent, and not over-cluttered.",Deliverable exists at docs/report_design_checklist.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-6; Phase-6; E06; F06.03; UX; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
Task,,,,Draft/build artifact for Finalize report UX and accessibility checks,New,Create the first complete version of the artifact or implementation for Finalize report UX and accessibility checks.,,ClinicalPulse; Sprint-6; Phase-6; E06; F06.03; UX; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
Task,,,,Validate and document Finalize report UX and accessibility checks,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Finalize report UX and accessibility checks.",,ClinicalPulse; Sprint-6; Phase-6; E06; F06.03; UX; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
