Work Item Type,Title 1,Title 2,Title 3,Title 4,State,Description,Acceptance Criteria,Tags
User Story,,,Identify optional entities for later expansion,,New,"As a project owner, I want identify optional entities for later expansion so that medications, payers, and careplans are scoped without derailing version 1.",Deliverable exists at docs/source_scope_notes.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-2; Phase-2; E02; F02.02; Scope-Control; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
Task,,,,Draft/build artifact for Identify optional entities for later expansion,New,Create the first complete version of the artifact or implementation for Identify optional entities for later expansion.,,ClinicalPulse; Sprint-2; Phase-2; E02; F02.02; Scope-Control; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
Task,,,,Validate and document Identify optional entities for later expansion,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Identify optional entities for later expansion.",,ClinicalPulse; Sprint-2; Phase-2; E02; F02.02; Scope-Control; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
Feature,,Data Handling and Repository Safety,,,New,Keep source data local and document safe public-portfolio practices.,"Feature is complete when raw data, secrets, local artifacts, and generated files are excluded from Git, and synthetic-data handling rules and limitations are documented.",ClinicalPulse; Sprint-2; Phase-2; E02; F02.03; Data; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
User Story,,,"Update .gitignore for raw data, secrets, and local artifacts",,New,"As a developer, I want update .gitignore for raw data, secrets, and local artifacts so that unsafe files are excluded from Git before ingestion begins.",Deliverable exists at .gitignore; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-2; Phase-2; E02; F02.03; Repo-Safety; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
Task,,,,"Draft/build artifact for Update .gitignore for raw data, secrets, and local artifacts",New,"Create the first complete version of the artifact or implementation for Update .gitignore for raw data, secrets, and local artifacts.",,ClinicalPulse; Sprint-2; Phase-2; E02; F02.03; Repo-Safety; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
Task,,,,"Validate and document Update .gitignore for raw data, secrets, and local artifacts",New,"Check the work against acceptance criteria, document assumptions, and record evidence for Update .gitignore for raw data, secrets, and local artifacts.",,ClinicalPulse; Sprint-2; Phase-2; E02; F02.03; Repo-Safety; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
User Story,,,Create safe sample data policy,,New,"As a project owner, I want create safe sample data policy so that any public samples are intentionally curated and clearly synthetic.",Deliverable exists at docs/data_handling_rules.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-2; Phase-2; E02; F02.03; Portfolio-Safe; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
Task,,,,Draft/build artifact for Create safe sample data policy,New,Create the first complete version of the artifact or implementation for Create safe sample data policy.,,ClinicalPulse; Sprint-2; Phase-2; E02; F02.03; Portfolio-Safe; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
Task,,,,Validate and document Create safe sample data policy,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Create safe sample data policy.",,ClinicalPulse; Sprint-2; Phase-2; E02; F02.03; Portfolio-Safe; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
User Story,,,Document synthetic-data limitations and disclaimers,,New,"As a stakeholder, I want document synthetic-data limitations and disclaimers so that reviewers understand the data is simulation-only and not real patient data.",Deliverable exists at docs/data_handling_rules.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-2; Phase-2; E02; F02.03; Synthetic-Data; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
Task,,,,Draft/build artifact for Document synthetic-data limitations and disclaimers,New,Create the first complete version of the artifact or implementation for Document synthetic-data limitations and disclaimers.,,ClinicalPulse; Sprint-2; Phase-2; E02; F02.03; Synthetic-Data; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
Task,,,,Validate and document Document synthetic-data limitations and disclaimers,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Document synthetic-data limitations and disclaimers.",,ClinicalPulse; Sprint-2; Phase-2; E02; F02.03; Synthetic-Data; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
