Work Item Type,Title 1,Title 2,Title 3,Title 4,State,Description,Acceptance Criteria,Tags
Task,,,,"Draft/build artifact for Create API views for Observation, Condition, and Procedure",New,"Create the first complete version of the artifact or implementation for Create API views for Observation, Condition, and Procedure.",,ClinicalPulse; Sprint-7; Phase-7; E07; F07.01; API-Views; AP-ClinicalPulse\FHIR API; IP-ClinicalPulse\Sprint 7 - FHIR API Component
Task,,,,"Validate and document Create API views for Observation, Condition, and Procedure",New,"Check the work against acceptance criteria, document assumptions, and record evidence for Create API views for Observation, Condition, and Procedure.",,ClinicalPulse; Sprint-7; Phase-7; E07; F07.01; API-Views; AP-ClinicalPulse\FHIR API; IP-ClinicalPulse\Sprint 7 - FHIR API Component
Task,,,,"Commit and link implementation evidence for Create API views for Observation, Condition, and Procedure",New,"Commit related code/docs, reference the Azure Boards work item in the commit, and capture validation notes for Create API views for Observation, Condition, and Procedure.",,ClinicalPulse; Sprint-7; Phase-7; E07; F07.01; API-Views; Evidence; AP-ClinicalPulse\FHIR API; IP-ClinicalPulse\Sprint 7 - FHIR API Component
Feature,,FastAPI Service,,,New,Build a lightweight read-only FastAPI service for selected resources.,"Feature is complete when the FastAPI application exposes read-only health, metadata, FHIR-style resource, patient-scoped query, and aggregate metrics endpoints using organized service modules.",ClinicalPulse; Sprint-7; Phase-7; E07; F07.02; FastAPI; AP-ClinicalPulse\FHIR API; IP-ClinicalPulse\Sprint 7 - FHIR API Component
User Story,,,Set up FastAPI app structure,,New,"As a developer, I want set up fastapi app structure so that API modules, schemas, database utilities, and services are organized.",Deliverable exists at src/api/main.py; src/api/db.py; src/api/schemas.py; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-7; Phase-7; E07; F07.02; FastAPI; AP-ClinicalPulse\FHIR API; IP-ClinicalPulse\Sprint 7 - FHIR API Component
Task,,,,Draft/build artifact for Set up FastAPI app structure,New,Create the first complete version of the artifact or implementation for Set up FastAPI app structure.,,ClinicalPulse; Sprint-7; Phase-7; E07; F07.02; FastAPI; AP-ClinicalPulse\FHIR API; IP-ClinicalPulse\Sprint 7 - FHIR API Component
Task,,,,Validate and document Set up FastAPI app structure,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Set up FastAPI app structure.",,ClinicalPulse; Sprint-7; Phase-7; E07; F07.02; FastAPI; AP-ClinicalPulse\FHIR API; IP-ClinicalPulse\Sprint 7 - FHIR API Component
Task,,,,Commit and link implementation evidence for Set up FastAPI app structure,New,"Commit related code/docs, reference the Azure Boards work item in the commit, and capture validation notes for Set up FastAPI app structure.",,ClinicalPulse; Sprint-7; Phase-7; E07; F07.02; FastAPI; Evidence; AP-ClinicalPulse\FHIR API; IP-ClinicalPulse\Sprint 7 - FHIR API Component
User Story,,,Implement health and metadata endpoints,,New,"As a developer, I want implement health and metadata endpoints so that GET /health and GET /api/metadata return expected status and supported resources.",Deliverable exists at src/api/main.py; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-7; Phase-7; E07; F07.02; Endpoint; AP-ClinicalPulse\FHIR API; IP-ClinicalPulse\Sprint 7 - FHIR API Component
Task,,,,Draft/build artifact for Implement health and metadata endpoints,New,Create the first complete version of the artifact or implementation for Implement health and metadata endpoints.,,ClinicalPulse; Sprint-7; Phase-7; E07; F07.02; Endpoint; AP-ClinicalPulse\FHIR API; IP-ClinicalPulse\Sprint 7 - FHIR API Component
Task,,,,Validate and document Implement health and metadata endpoints,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Implement health and metadata endpoints.",,ClinicalPulse; Sprint-7; Phase-7; E07; F07.02; Endpoint; AP-ClinicalPulse\FHIR API; IP-ClinicalPulse\Sprint 7 - FHIR API Component
Task,,,,Commit and link implementation evidence for Implement health and metadata endpoints,New,"Commit related code/docs, reference the Azure Boards work item in the commit, and capture validation notes for Implement health and metadata endpoints.",,ClinicalPulse; Sprint-7; Phase-7; E07; F07.02; Endpoint; Evidence; AP-ClinicalPulse\FHIR API; IP-ClinicalPulse\Sprint 7 - FHIR API Component
User Story,,,Implement Patient and Encounter endpoints,,New,"As a developer, I want implement patient and encounter endpoints so that GET /fhir/Patient/{patient_id} and GET /fhir/Encounter/{encounter_id} return FHIR-style JSON.",Deliverable exists at src/api/services/patient_service.py; src/api/services/encounter_service.py; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-7; Phase-7; E07; F07.02; Endpoint; AP-ClinicalPulse\FHIR API; IP-ClinicalPulse\Sprint 7 - FHIR API Component
Task,,,,Draft/build artifact for Implement Patient and Encounter endpoints,New,Create the first complete version of the artifact or implementation for Implement Patient and Encounter endpoints.,,ClinicalPulse; Sprint-7; Phase-7; E07; F07.02; Endpoint; AP-ClinicalPulse\FHIR API; IP-ClinicalPulse\Sprint 7 - FHIR API Component
Task,,,,Validate and document Implement Patient and Encounter endpoints,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Implement Patient and Encounter endpoints.",,ClinicalPulse; Sprint-7; Phase-7; E07; F07.02; Endpoint; AP-ClinicalPulse\FHIR API; IP-ClinicalPulse\Sprint 7 - FHIR API Component
Task,,,,Commit and link implementation evidence for Implement Patient and Encounter endpoints,New,"Commit related code/docs, reference the Azure Boards work item in the commit, and capture validation notes for Implement Patient and Encounter endpoints.",,ClinicalPulse; Sprint-7; Phase-7; E07; F07.02; Endpoint; Evidence; AP-ClinicalPulse\FHIR API; IP-ClinicalPulse\Sprint 7 - FHIR API Component
User Story,,,Implement Observation and Condition endpoints,,New,"As a developer, I want implement observation and condition endpoints so that GET /fhir/Observation?patient= and GET /fhir/Condition?patient= return selected synthetic records.",Deliverable exists at src/api/services/observation_service.py; src/api/services/condition_service.py; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-7; Phase-7; E07; F07.02; Endpoint; AP-ClinicalPulse\FHIR API; IP-ClinicalPulse\Sprint 7 - FHIR API Component
Task,,,,Draft/build artifact for Implement Observation and Condition endpoints,New,Create the first complete version of the artifact or implementation for Implement Observation and Condition endpoints.,,ClinicalPulse; Sprint-7; Phase-7; E07; F07.02; Endpoint; AP-ClinicalPulse\FHIR API; IP-ClinicalPulse\Sprint 7 - FHIR API Component
Task,,,,Validate and document Implement Observation and Condition endpoints,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Implement Observation and Condition endpoints.",,ClinicalPulse; Sprint-7; Phase-7; E07; F07.02; Endpoint; AP-ClinicalPulse\FHIR API; IP-ClinicalPulse\Sprint 7 - FHIR API Component
Task,,,,Commit and link implementation evidence for Implement Observation and Condition endpoints,New,"Commit related code/docs, reference the Azure Boards work item in the commit, and capture validation notes for Implement Observation and Condition endpoints.",,ClinicalPulse; Sprint-7; Phase-7; E07; F07.02; Endpoint; Evidence; AP-ClinicalPulse\FHIR API; IP-ClinicalPulse\Sprint 7 - FHIR API Component
User Story,,,Implement aggregate metrics summary endpoint,,New,"As a developer, I want implement aggregate metrics summary endpoint so that GET /api/metrics/summary returns governed aggregate dashboard metrics.",Deliverable exists at src/api/services/metrics_service.py; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-7; Phase-7; E07; F07.02; Endpoint; Metrics; AP-ClinicalPulse\FHIR API; IP-ClinicalPulse\Sprint 7 - FHIR API Component
Task,,,,Draft/build artifact for Implement aggregate metrics summary endpoint,New,Create the first complete version of the artifact or implementation for Implement aggregate metrics summary endpoint.,,ClinicalPulse; Sprint-7; Phase-7; E07; F07.02; Endpoint; Metrics; AP-ClinicalPulse\FHIR API; IP-ClinicalPulse\Sprint 7 - FHIR API Component
Task,,,,Validate and document Implement aggregate metrics summary endpoint,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Implement aggregate metrics summary endpoint.",,ClinicalPulse; Sprint-7; Phase-7; E07; F07.02; Endpoint; Metrics; AP-ClinicalPulse\FHIR API; IP-ClinicalPulse\Sprint 7 - FHIR API Component
Task,,,,Commit and link implementation evidence for Implement aggregate metrics summary endpoint,New,"Commit related code/docs, reference the Azure Boards work item in the commit, and capture validation notes for Implement aggregate metrics summary endpoint.",,ClinicalPulse; Sprint-7; Phase-7; E07; F07.02; Endpoint; Metrics; Evidence; AP-ClinicalPulse\FHIR API; IP-ClinicalPulse\Sprint 7 - FHIR API Component
Feature,,Testing and API Documentation,,,New,Test and document the API component.,"Feature is complete when endpoint tests, FHIR-shape tests, sample JSON responses, and API reference documentation demonstrate expected API behavior and limitations.",ClinicalPulse; Sprint-7; Phase-7; E07; F07.03; Testing; AP-ClinicalPulse\FHIR API; IP-ClinicalPulse\Sprint 7 - FHIR API Component
User Story,,,Add endpoint tests,,New,"As a developer, I want add endpoint tests so that API endpoints have basic pytest coverage for status codes and response shapes.",Deliverable exists at tests/test_api_endpoints.py; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-7; Phase-7; E07; F07.03; Testing; AP-ClinicalPulse\FHIR API; IP-ClinicalPulse\Sprint 7 - FHIR API Component
Task,,,,Draft/build artifact for Add endpoint tests,New,Create the first complete version of the artifact or implementation for Add endpoint tests.,,ClinicalPulse; Sprint-7; Phase-7; E07; F07.03; Testing; AP-ClinicalPulse\FHIR API; IP-ClinicalPulse\Sprint 7 - FHIR API Component
Task,,,,Validate and document Add endpoint tests,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Add endpoint tests.",,ClinicalPulse; Sprint-7; Phase-7; E07; F07.03; Testing; AP-ClinicalPulse\FHIR API; IP-ClinicalPulse\Sprint 7 - FHIR API Component
Task,,,,Commit and link implementation evidence for Add endpoint tests,New,"Commit related code/docs, reference the Azure Boards work item in the commit, and capture validation notes for Add endpoint tests.",,ClinicalPulse; Sprint-7; Phase-7; E07; F07.03; Testing; Evidence; AP-ClinicalPulse\FHIR API; IP-ClinicalPulse\Sprint 7 - FHIR API Component
User Story,,,Export sample FHIR-style JSON responses,,New,"As a developer, I want export sample fhir-style json responses so that sample Patient, Encounter, Observation, and Condition responses are committed as documentation examples.",Deliverable exists at src/export_fhir_examples.py; docs/examples/; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-7; Phase-7; E07; F07.03; FHIR-JSON; AP-ClinicalPulse\FHIR API; IP-ClinicalPulse\Sprint 7 - FHIR API Component
Task,,,,Draft/build artifact for Export sample FHIR-style JSON responses,New,Create the first complete version of the artifact or implementation for Export sample FHIR-style JSON responses.,,ClinicalPulse; Sprint-7; Phase-7; E07; F07.03; FHIR-JSON; AP-ClinicalPulse\FHIR API; IP-ClinicalPulse\Sprint 7 - FHIR API Component
Task,,,,Validate and document Export sample FHIR-style JSON responses,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Export sample FHIR-style JSON responses.",,ClinicalPulse; Sprint-7; Phase-7; E07; F07.03; FHIR-JSON; AP-ClinicalPulse\FHIR API; IP-ClinicalPulse\Sprint 7 - FHIR API Component
User Story,,,Create API reference documentation,,New,"As a reviewer, I want create api reference documentation so that endpoint purpose, parameters, response examples, limitations, and demo boundaries are documented.",Deliverable exists at docs/api_reference.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-7; Phase-7; E07; F07.03; API-Docs; AP-ClinicalPulse\FHIR API; IP-ClinicalPulse\Sprint 7 - FHIR API Component
Task,,,,Draft/build artifact for Create API reference documentation,New,Create the first complete version of the artifact or implementation for Create API reference documentation.,,ClinicalPulse; Sprint-7; Phase-7; E07; F07.03; API-Docs; AP-ClinicalPulse\FHIR API; IP-ClinicalPulse\Sprint 7 - FHIR API Component
Task,,,,Validate and document Create API reference documentation,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Create API reference documentation.",,ClinicalPulse; Sprint-7; Phase-7; E07; F07.03; API-Docs; AP-ClinicalPulse\FHIR API; IP-ClinicalPulse\Sprint 7 - FHIR API Component
