Work Item Type,Title 1,Title 2,Title 3,Title 4,State,Description,Acceptance Criteria,Tags
Task,,,,Validate and document Create public portfolio safety section,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Create public portfolio safety section.",,ClinicalPulse; Sprint-8; Phase-8; E08; F08.01; Portfolio-Safe; AP-ClinicalPulse\Documentation & Portfolio; IP-ClinicalPulse\Sprint 8 - Governance and Portfolio Delivery
Feature,,Adoption and Stakeholder Enablement,,,New,Document how dashboard users would adopt and give feedback on the reporting product.,"Feature is complete when the adoption plan, dashboard user guide, and change-control loop explain how users would learn, interpret, provide feedback on, and request changes to the reporting product.",ClinicalPulse; Sprint-8; Phase-8; E08; F08.02; Adoption; AP-ClinicalPulse\Documentation & Portfolio; IP-ClinicalPulse\Sprint 8 - Governance and Portfolio Delivery
User Story,,,Create adoption plan,,New,"As a operational leader, I want create adoption plan so that training approach, audience, feedback loop, and success measures are documented.",Deliverable exists at docs/adoption_plan.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-8; Phase-8; E08; F08.02; Adoption; AP-ClinicalPulse\Documentation & Portfolio; IP-ClinicalPulse\Sprint 8 - Governance and Portfolio Delivery
Task,,,,Draft/build artifact for Create adoption plan,New,Create the first complete version of the artifact or implementation for Create adoption plan.,,ClinicalPulse; Sprint-8; Phase-8; E08; F08.02; Adoption; AP-ClinicalPulse\Documentation & Portfolio; IP-ClinicalPulse\Sprint 8 - Governance and Portfolio Delivery
Task,,,,Validate and document Create adoption plan,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Create adoption plan.",,ClinicalPulse; Sprint-8; Phase-8; E08; F08.02; Adoption; AP-ClinicalPulse\Documentation & Portfolio; IP-ClinicalPulse\Sprint 8 - Governance and Portfolio Delivery
User Story,,,Create dashboard user guide,,New,"As a dashboard consumer, I want create dashboard user guide so that users can interpret filters, KPIs, dashboard pages, and known limitations.",Deliverable exists at docs/dashboard_user_guide.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-8; Phase-8; E08; F08.02; User-Guide; AP-ClinicalPulse\Documentation & Portfolio; IP-ClinicalPulse\Sprint 8 - Governance and Portfolio Delivery
Task,,,,Draft/build artifact for Create dashboard user guide,New,Create the first complete version of the artifact or implementation for Create dashboard user guide.,,ClinicalPulse; Sprint-8; Phase-8; E08; F08.02; User-Guide; AP-ClinicalPulse\Documentation & Portfolio; IP-ClinicalPulse\Sprint 8 - Governance and Portfolio Delivery
Task,,,,Validate and document Create dashboard user guide,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Create dashboard user guide.",,ClinicalPulse; Sprint-8; Phase-8; E08; F08.02; User-Guide; AP-ClinicalPulse\Documentation & Portfolio; IP-ClinicalPulse\Sprint 8 - Governance and Portfolio Delivery
User Story,,,Create feedback and change-control loop,,New,"As a project owner, I want create feedback and change-control loop so that future KPI/dashboard changes have an intake and documentation process.",Deliverable exists at docs/change_control.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-8; Phase-8; E08; F08.02; Change-Control; AP-ClinicalPulse\Documentation & Portfolio; IP-ClinicalPulse\Sprint 8 - Governance and Portfolio Delivery
Task,,,,Draft/build artifact for Create feedback and change-control loop,New,Create the first complete version of the artifact or implementation for Create feedback and change-control loop.,,ClinicalPulse; Sprint-8; Phase-8; E08; F08.02; Change-Control; AP-ClinicalPulse\Documentation & Portfolio; IP-ClinicalPulse\Sprint 8 - Governance and Portfolio Delivery
Task,,,,Validate and document Create feedback and change-control loop,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Create feedback and change-control loop.",,ClinicalPulse; Sprint-8; Phase-8; E08; F08.02; Change-Control; AP-ClinicalPulse\Documentation & Portfolio; IP-ClinicalPulse\Sprint 8 - Governance and Portfolio Delivery
Feature,,Final Portfolio Packaging,,,New,Prepare the finished project for external review.,"Feature is complete when final walkthrough, repository cleanup, release checklist, resume bullets, interview talking points, screenshots, validation logs, and final release evidence are ready for external review.",ClinicalPulse; Sprint-8; Phase-8; E08; F08.03; Final; AP-ClinicalPulse\Documentation & Portfolio; IP-ClinicalPulse\Sprint 8 - Governance and Portfolio Delivery
User Story,,,Create final project walkthrough,,New,"As a portfolio reviewer, I want create final project walkthrough so that the project has a concise walkthrough tying business, governance, technical build, and outputs together.",Deliverable exists at docs/final_walkthrough.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-8; Phase-8; E08; F08.03; Portfolio; AP-ClinicalPulse\Documentation & Portfolio; IP-ClinicalPulse\Sprint 8 - Governance and Portfolio Delivery
Task,,,,Draft/build artifact for Create final project walkthrough,New,Create the first complete version of the artifact or implementation for Create final project walkthrough.,,ClinicalPulse; Sprint-8; Phase-8; E08; F08.03; Portfolio; AP-ClinicalPulse\Documentation & Portfolio; IP-ClinicalPulse\Sprint 8 - Governance and Portfolio Delivery
Task,,,,Validate and document Create final project walkthrough,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Create final project walkthrough.",,ClinicalPulse; Sprint-8; Phase-8; E08; F08.03; Portfolio; AP-ClinicalPulse\Documentation & Portfolio; IP-ClinicalPulse\Sprint 8 - Governance and Portfolio Delivery
User Story,,,Clean repository and verify folder structure,,New,"As a developer, I want clean repository and verify folder structure so that the repository matches the documented structure and contains no unsafe files.",Deliverable exists at docs/release_checklist.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-8; Phase-8; E08; F08.03; Repo-Safety; AP-ClinicalPulse\Documentation & Portfolio; IP-ClinicalPulse\Sprint 8 - Governance and Portfolio Delivery
Task,,,,Draft/build artifact for Clean repository and verify folder structure,New,Create the first complete version of the artifact or implementation for Clean repository and verify folder structure.,,ClinicalPulse; Sprint-8; Phase-8; E08; F08.03; Repo-Safety; AP-ClinicalPulse\Documentation & Portfolio; IP-ClinicalPulse\Sprint 8 - Governance and Portfolio Delivery
Task,,,,Validate and document Clean repository and verify folder structure,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Clean repository and verify folder structure.",,ClinicalPulse; Sprint-8; Phase-8; E08; F08.03; Repo-Safety; AP-ClinicalPulse\Documentation & Portfolio; IP-ClinicalPulse\Sprint 8 - Governance and Portfolio Delivery
User Story,,,Prepare resume and interview talking points,,New,"As a job candidate, I want prepare resume and interview talking points so that the project can be explained in healthcare BI/data interview language.",Deliverable exists at docs/interview_talking_points.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-8; Phase-8; E08; F08.03; Interview; AP-ClinicalPulse\Documentation & Portfolio; IP-ClinicalPulse\Sprint 8 - Governance and Portfolio Delivery
Task,,,,Draft/build artifact for Prepare resume and interview talking points,New,Create the first complete version of the artifact or implementation for Prepare resume and interview talking points.,,ClinicalPulse; Sprint-8; Phase-8; E08; F08.03; Interview; AP-ClinicalPulse\Documentation & Portfolio; IP-ClinicalPulse\Sprint 8 - Governance and Portfolio Delivery
Task,,,,Validate and document Prepare resume and interview talking points,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Prepare resume and interview talking points.",,ClinicalPulse; Sprint-8; Phase-8; E08; F08.03; Interview; AP-ClinicalPulse\Documentation & Portfolio; IP-ClinicalPulse\Sprint 8 - Governance and Portfolio Delivery
User Story,,,Create final release tag and evidence checklist,,New,"As a project owner, I want create final release tag and evidence checklist so that final deliverables, screenshots, validation logs, and release evidence are recorded.",Deliverable exists at docs/release_checklist.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-8; Phase-8; E08; F08.03; Release; AP-ClinicalPulse\Documentation & Portfolio; IP-ClinicalPulse\Sprint 8 - Governance and Portfolio Delivery
Task,,,,Draft/build artifact for Create final release tag and evidence checklist,New,Create the first complete version of the artifact or implementation for Create final release tag and evidence checklist.,,ClinicalPulse; Sprint-8; Phase-8; E08; F08.03; Release; AP-ClinicalPulse\Documentation & Portfolio; IP-ClinicalPulse\Sprint 8 - Governance and Portfolio Delivery
Task,,,,Validate and document Create final release tag and evidence checklist,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Create final release tag and evidence checklist.",,ClinicalPulse; Sprint-8; Phase-8; E08; F08.03; Release; AP-ClinicalPulse\Documentation & Portfolio; IP-ClinicalPulse\Sprint 8 - Governance and Portfolio Delivery
