Work Item Type,Title 1,Title 2,Title 3,Title 4,State,Description,Acceptance Criteria,Tags
Task,,,,Validate and document Document GitHub and Azure Boards traceability conventions,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Document GitHub and Azure Boards traceability conventions.",,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.01; GitHub; Traceability; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 0 - Project Setup
Feature,,"Charter, Business Requirements, and Stakeholders",,,New,Define the business-facing foundation for ClinicalPulse.,,"ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.02; Charter,; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design"
User Story,,,Finalize the project charter,,New,"As a stakeholder, I want finalize the project charter so that purpose, scope, success criteria, and assumptions are clear.",Deliverable exists at docs/project_charter.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.02; Charter; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design
Task,,,,Draft/build artifact for Finalize the project charter,New,Create the first complete version of the artifact or implementation for Finalize the project charter.,,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.02; Charter; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design
Task,,,,Validate and document Finalize the project charter,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Finalize the project charter.",,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.02; Charter; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design
User Story,,,Create the business requirements document,,New,"As a operational stakeholder, I want create the business requirements document so that analytical needs are captured in business language.",Deliverable exists at docs/business_requirements.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.02; BRD; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design
Task,,,,Draft/build artifact for Create the business requirements document,New,Create the first complete version of the artifact or implementation for Create the business requirements document.,,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.02; BRD; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design
Task,,,,Validate and document Create the business requirements document,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Create the business requirements document.",,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.02; BRD; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design
User Story,,,Create the stakeholder matrix,,New,"As a project owner, I want create the stakeholder matrix so that users, owners, stewards, and reviewers are identified.",Deliverable exists at docs/stakeholder_matrix.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.02; Stakeholders; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design
Task,,,,Draft/build artifact for Create the stakeholder matrix,New,Create the first complete version of the artifact or implementation for Create the stakeholder matrix.,,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.02; Stakeholders; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design
Task,,,,Validate and document Create the stakeholder matrix,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Create the stakeholder matrix.",,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.02; Stakeholders; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design
Feature,,Architecture and Governance Baseline,,,New,Document the target platform architecture and governance assumptions.,,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.03; Architecture; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design
User Story,,,Draft the architecture overview,,New,"As a technical reviewer, I want draft the architecture overview so that the end-to-end architecture is understandable before build begins.",Deliverable exists at docs/architecture_overview.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.03; Architecture; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design
Task,,,,Draft/build artifact for Draft the architecture overview,New,Create the first complete version of the artifact or implementation for Draft the architecture overview.,,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.03; Architecture; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design
Task,,,,Validate and document Draft the architecture overview,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Draft the architecture overview.",,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.03; Architecture; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design
User Story,,,Create the KPI dictionary skeleton,,New,"As a data steward, I want create the kpi dictionary skeleton so that future metrics have a standard definition template.",Deliverable exists at docs/kpi_dictionary.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.03; KPI; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design
Task,,,,Draft/build artifact for Create the KPI dictionary skeleton,New,Create the first complete version of the artifact or implementation for Create the KPI dictionary skeleton.,,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.03; KPI; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design
Task,,,,Validate and document Create the KPI dictionary skeleton,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Create the KPI dictionary skeleton.",,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.03; KPI; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design
User Story,,,Draft the data governance plan,,New,"As a data steward, I want draft the data governance plan so that governance responsibilities are treated as part of delivery.",Deliverable exists at docs/data_governance_plan.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.03; Governance; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design
Task,,,,Draft/build artifact for Draft the data governance plan,New,Create the first complete version of the artifact or implementation for Draft the data governance plan.,,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.03; Governance; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design
Task,,,,Validate and document Draft the data governance plan,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Draft the data governance plan.",,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.03; Governance; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design
User Story,,,Define security and public portfolio safety assumptions,,New,"As a security reviewer, I want define security and public portfolio safety assumptions so that synthetic-data handling and repository safety are explicit.",Deliverable exists at docs/security_model.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.03; Security; Portfolio-Safe; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design
Task,,,,Draft/build artifact for Define security and public portfolio safety assumptions,New,Create the first complete version of the artifact or implementation for Define security and public portfolio safety assumptions.,,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.03; Security; Portfolio-Safe; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design
Task,,,,Validate and document Define security and public portfolio safety assumptions,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Define security and public portfolio safety assumptions.",,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.03; Security; Portfolio-Safe; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design
Epic,Source Data Foundation,,,,New,"Generate or acquire Synthea synthetic EHR data and document source assumptions, inventory, limitations, and handling rules.",,ClinicalPulse; Sprint-2; Phase-2; E02; Synthea; Source-Data; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
Feature,,Synthea Dataset Generation,,,New,Generate or acquire the synthetic EHR source dataset reproducibly.,,ClinicalPulse; Sprint-2; Phase-2; E02; F02.01; Synthea; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
User Story,,,Choose Synthea generation settings,,New,"As a BI developer, I want choose synthea generation settings so that the synthetic dataset has documented geography, seed, population, and export format.",Deliverable exists at docs/generate_synthea_data.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-2; Phase-2; E02; F02.01; Synthea; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
Task,,,,Draft/build artifact for Choose Synthea generation settings,New,Create the first complete version of the artifact or implementation for Choose Synthea generation settings.,,ClinicalPulse; Sprint-2; Phase-2; E02; F02.01; Synthea; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
Task,,,,Validate and document Choose Synthea generation settings,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Choose Synthea generation settings.",,ClinicalPulse; Sprint-2; Phase-2; E02; F02.01; Synthea; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
User Story,,,Generate or acquire selected Synthea CSV files,,New,"As a BI developer, I want generate or acquire selected synthea csv files so that the expected source files are available locally for ingestion.",Deliverable exists at data/raw/; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-2; Phase-2; E02; F02.01; Synthea; CSV; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
Task,,,,Draft/build artifact for Generate or acquire selected Synthea CSV files,New,Create the first complete version of the artifact or implementation for Generate or acquire selected Synthea CSV files.,,ClinicalPulse; Sprint-2; Phase-2; E02; F02.01; Synthea; CSV; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
Task,,,,Validate and document Generate or acquire selected Synthea CSV files,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Generate or acquire selected Synthea CSV files.",,ClinicalPulse; Sprint-2; Phase-2; E02; F02.01; Synthea; CSV; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
User Story,,,Document source acquisition and regeneration steps,,New,"As a reviewer, I want document source acquisition and regeneration steps so that the dataset can be recreated or replaced without confusion.",Deliverable exists at docs/generate_synthea_data.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-2; Phase-2; E02; F02.01; Reproducibility; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
Task,,,,Draft/build artifact for Document source acquisition and regeneration steps,New,Create the first complete version of the artifact or implementation for Document source acquisition and regeneration steps.,,ClinicalPulse; Sprint-2; Phase-2; E02; F02.01; Reproducibility; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
Task,,,,Validate and document Document source acquisition and regeneration steps,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Document source acquisition and regeneration steps.",,ClinicalPulse; Sprint-2; Phase-2; E02; F02.01; Reproducibility; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
Feature,,Source Inventory and Profiling,,,New,Inventory and profile selected Synthea source entities before ingestion.,,ClinicalPulse; Sprint-2; Phase-2; E02; F02.02; Source; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
User Story,,,Create source file inventory,,New,"As a data engineer, I want create source file inventory so that all selected source files, row counts, and expected keys are documented.",Deliverable exists at docs/source_file_inventory.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-2; Phase-2; E02; F02.02; Inventory; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
Task,,,,Draft/build artifact for Create source file inventory,New,Create the first complete version of the artifact or implementation for Create source file inventory.,,ClinicalPulse; Sprint-2; Phase-2; E02; F02.02; Inventory; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
Task,,,,Validate and document Create source file inventory,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Create source file inventory.",,ClinicalPulse; Sprint-2; Phase-2; E02; F02.02; Inventory; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
User Story,,,Profile core clinical and operational source files,,New,"As a data analyst, I want profile core clinical and operational source files so that patients, encounters, conditions, observations, procedures, organizations, and providers are understood.",Deliverable exists at docs/source_entity_profile.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-2; Phase-2; E02; F02.02; Profiling; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
Task,,,,Draft/build artifact for Profile core clinical and operational source files,New,Create the first complete version of the artifact or implementation for Profile core clinical and operational source files.,,ClinicalPulse; Sprint-2; Phase-2; E02; F02.02; Profiling; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
Task,,,,Validate and document Profile core clinical and operational source files,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Profile core clinical and operational source files.",,ClinicalPulse; Sprint-2; Phase-2; E02; F02.02; Profiling; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
User Story,,,Identify optional entities for later expansion,,New,"As a project owner, I want identify optional entities for later expansion so that medications, payers, and careplans are scoped without derailing version 1.",Deliverable exists at docs/source_scope_notes.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-2; Phase-2; E02; F02.02; Scope-Control; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
Task,,,,Draft/build artifact for Identify optional entities for later expansion,New,Create the first complete version of the artifact or implementation for Identify optional entities for later expansion.,,ClinicalPulse; Sprint-2; Phase-2; E02; F02.02; Scope-Control; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
Task,,,,Validate and document Identify optional entities for later expansion,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Identify optional entities for later expansion.",,ClinicalPulse; Sprint-2; Phase-2; E02; F02.02; Scope-Control; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
Feature,,Data Handling and Repository Safety,,,New,Keep source data local and document safe public-portfolio practices.,,ClinicalPulse; Sprint-2; Phase-2; E02; F02.03; Data; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
User Story,,,"Update .gitignore for raw data, secrets, and local artifacts",,New,"As a developer, I want update .gitignore for raw data, secrets, and local artifacts so that unsafe files are excluded from Git before ingestion begins.",Deliverable exists at .gitignore; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-2; Phase-2; E02; F02.03; Repo-Safety; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
Task,,,,"Draft/build artifact for Update .gitignore for raw data, secrets, and local artifacts",New,"Create the first complete version of the artifact or implementation for Update .gitignore for raw data, secrets, and local artifacts.",,ClinicalPulse; Sprint-2; Phase-2; E02; F02.03; Repo-Safety; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
Task,,,,"Validate and document Update .gitignore for raw data, secrets, and local artifacts",New,"Check the work against acceptance criteria, document assumptions, and record evidence for Update .gitignore for raw data, secrets, and local artifacts.",,ClinicalPulse; Sprint-2; Phase-2; E02; F02.03; Repo-Safety; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
User Story,,,Create safe sample data policy,,New,"As a project owner, I want create safe sample data policy so that any public samples are intentionally curated and clearly synthetic.",Deliverable exists at docs/data_handling_rules.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-2; Phase-2; E02; F02.03; Portfolio-Safe; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
Task,,,,Draft/build artifact for Create safe sample data policy,New,Create the first complete version of the artifact or implementation for Create safe sample data policy.,,ClinicalPulse; Sprint-2; Phase-2; E02; F02.03; Portfolio-Safe; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
Task,,,,Validate and document Create safe sample data policy,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Create safe sample data policy.",,ClinicalPulse; Sprint-2; Phase-2; E02; F02.03; Portfolio-Safe; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
User Story,,,Document synthetic-data limitations and disclaimers,,New,"As a stakeholder, I want document synthetic-data limitations and disclaimers so that reviewers understand the data is simulation-only and not real patient data.",Deliverable exists at docs/data_handling_rules.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-2; Phase-2; E02; F02.03; Synthetic-Data; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
Task,,,,Draft/build artifact for Document synthetic-data limitations and disclaimers,New,Create the first complete version of the artifact or implementation for Document synthetic-data limitations and disclaimers.,,ClinicalPulse; Sprint-2; Phase-2; E02; F02.03; Synthetic-Data; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
Task,,,,Validate and document Document synthetic-data limitations and disclaimers,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Document synthetic-data limitations and disclaimers.",,ClinicalPulse; Sprint-2; Phase-2; E02; F02.03; Synthetic-Data; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
Epic,SQL Server Ingestion,,,,New,"Create SQL Server foundation, bronze tables, ingestion scripts, audit logs, and row-count reconciliation.",,ClinicalPulse; Sprint-3; Phase-3; E03; SQL-Server; Ingestion; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
Feature,,Database and Schema Foundation,,,New,"Create SQL Server database, schemas, naming standards, and connection assumptions.",,ClinicalPulse; Sprint-3; Phase-3; E03; F03.01; Database; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
User Story,,,Create database and schema scripts,,New,"As a data engineer, I want create database and schema scripts so that SQL Server has bronze, silver, gold, governance, audit, and api schemas.",Deliverable exists at sql/00_create_database.sql; sql/01_create_schemas.sql; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-3; Phase-3; E03; F03.01; SQL-Server; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
Task,,,,Draft/build artifact for Create database and schema scripts,New,Create the first complete version of the artifact or implementation for Create database and schema scripts.,,ClinicalPulse; Sprint-3; Phase-3; E03; F03.01; SQL-Server; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
Task,,,,Validate and document Create database and schema scripts,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Create database and schema scripts.",,ClinicalPulse; Sprint-3; Phase-3; E03; F03.01; SQL-Server; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
Task,,,,Commit and link implementation evidence for Create database and schema scripts,New,"Commit related code/docs, reference the Azure Boards work item in the commit, and capture validation notes for Create database and schema scripts.",,ClinicalPulse; Sprint-3; Phase-3; E03; F03.01; SQL-Server; Evidence; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
User Story,,,Define SQL naming and scripting standards,,New,"As a developer, I want define sql naming and scripting standards so that objects, keys, constraints, and scripts follow consistent conventions.",Deliverable exists at docs/sql_standards.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-3; Phase-3; E03; F03.01; Standards; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
Task,,,,Draft/build artifact for Define SQL naming and scripting standards,New,Create the first complete version of the artifact or implementation for Define SQL naming and scripting standards.,,ClinicalPulse; Sprint-3; Phase-3; E03; F03.01; Standards; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
Task,,,,Validate and document Define SQL naming and scripting standards,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Define SQL naming and scripting standards.",,ClinicalPulse; Sprint-3; Phase-3; E03; F03.01; Standards; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
Task,,,,Commit and link implementation evidence for Define SQL naming and scripting standards,New,"Commit related code/docs, reference the Azure Boards work item in the commit, and capture validation notes for Define SQL naming and scripting standards.",,ClinicalPulse; Sprint-3; Phase-3; E03; F03.01; Standards; Evidence; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
User Story,,,Set up local SQL Server connection configuration,,New,"As a developer, I want set up local sql server connection configuration so that Python and SSMS can connect using safe local configuration.",Deliverable exists at src/config.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-3; Phase-3; E03; F03.01; Connection; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
Task,,,,Draft/build artifact for Set up local SQL Server connection configuration,New,Create the first complete version of the artifact or implementation for Set up local SQL Server connection configuration.,,ClinicalPulse; Sprint-3; Phase-3; E03; F03.01; Connection; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
Task,,,,Validate and document Set up local SQL Server connection configuration,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Set up local SQL Server connection configuration.",,ClinicalPulse; Sprint-3; Phase-3; E03; F03.01; Connection; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
Task,,,,Commit and link implementation evidence for Set up local SQL Server connection configuration,New,"Commit related code/docs, reference the Azure Boards work item in the commit, and capture validation notes for Set up local SQL Server connection configuration.",,ClinicalPulse; Sprint-3; Phase-3; E03; F03.01; Connection; Evidence; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
Feature,,Bronze Table Build,,,New,Build source-preserving bronze tables with ingestion metadata.,,ClinicalPulse; Sprint-3; Phase-3; E03; F03.02; Bronze; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
User Story,,,Create bronze patient and organization/provider tables,,New,"As a data engineer, I want create bronze patient and organization/provider tables so that core demographic and organizational entities load into bronze.",Deliverable exists at sql/02_create_bronze_tables.sql; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-3; Phase-3; E03; F03.02; Bronze; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
Task,,,,Draft/build artifact for Create bronze patient and organization/provider tables,New,Create the first complete version of the artifact or implementation for Create bronze patient and organization/provider tables.,,ClinicalPulse; Sprint-3; Phase-3; E03; F03.02; Bronze; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
