External ID,Parent External ID,Work Item Type,Title,State,Sprint,Phase,Epic,Feature,Description,Acceptance Criteria,Tags,Suggested Repo Artifact,Notes
T01.01.02.1,US01.01.02,Task,"Draft/build artifact for Define epics, features, sprint cadence, and tags",New,Sprint 0-1,Phase 1,E01 Project Governance & Planning,F01.01 DevOps Project Setup & Delivery Controls,"Create the first complete version of the artifact or implementation for Define epics, features, sprint cadence, and tags.",,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.01; Sprint-Planning; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 0 - Project Setup,azure-devops/sprint_plan.md,
T01.01.02.2,US01.01.02,Task,"Validate and document Define epics, features, sprint cadence, and tags",New,Sprint 0-1,Phase 1,E01 Project Governance & Planning,F01.01 DevOps Project Setup & Delivery Controls,"Check the work against acceptance criteria, document assumptions, and record evidence for Define epics, features, sprint cadence, and tags.",,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.01; Sprint-Planning; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 0 - Project Setup,azure-devops/sprint_plan.md,
US01.01.03,F01.01,User Story,Document GitHub and Azure Boards traceability conventions,New,Sprint 0-1,Phase 1,E01 Project Governance & Planning,F01.01 DevOps Project Setup & Delivery Controls,"As a developer, I want document github and azure boards traceability conventions so that commits and work items can be linked and reviewed.",Deliverable exists at docs/devops_workflow.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.01; GitHub; Traceability; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 0 - Project Setup,docs/devops_workflow.md,
T01.01.03.1,US01.01.03,Task,Draft/build artifact for Document GitHub and Azure Boards traceability conventions,New,Sprint 0-1,Phase 1,E01 Project Governance & Planning,F01.01 DevOps Project Setup & Delivery Controls,Create the first complete version of the artifact or implementation for Document GitHub and Azure Boards traceability conventions.,,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.01; GitHub; Traceability; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 0 - Project Setup,docs/devops_workflow.md,
T01.01.03.2,US01.01.03,Task,Validate and document Document GitHub and Azure Boards traceability conventions,New,Sprint 0-1,Phase 1,E01 Project Governance & Planning,F01.01 DevOps Project Setup & Delivery Controls,"Check the work against acceptance criteria, document assumptions, and record evidence for Document GitHub and Azure Boards traceability conventions.",,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.01; GitHub; Traceability; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 0 - Project Setup,docs/devops_workflow.md,
F01.02,E01,Feature,"Charter, Business Requirements, and Stakeholders",New,Sprint 0-1,Phase 1,E01 Project Governance & Planning,"F01.02 Charter, Business Requirements, and Stakeholders",Define the business-facing foundation for ClinicalPulse.,"Feature is complete when the project charter, business requirements document, and stakeholder matrix define ClinicalPulse purpose, scope, target users, assumptions, deliverables, and business-facing reporting needs.","ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.02; Charter,; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design",,
US01.02.01,F01.02,User Story,Finalize the project charter,New,Sprint 0-1,Phase 1,E01 Project Governance & Planning,"F01.02 Charter, Business Requirements, and Stakeholders","As a stakeholder, I want finalize the project charter so that purpose, scope, success criteria, and assumptions are clear.",Deliverable exists at docs/project_charter.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.02; Charter; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design,docs/project_charter.md,
T01.02.01.1,US01.02.01,Task,Draft/build artifact for Finalize the project charter,New,Sprint 0-1,Phase 1,E01 Project Governance & Planning,"F01.02 Charter, Business Requirements, and Stakeholders",Create the first complete version of the artifact or implementation for Finalize the project charter.,,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.02; Charter; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design,docs/project_charter.md,
T01.02.01.2,US01.02.01,Task,Validate and document Finalize the project charter,New,Sprint 0-1,Phase 1,E01 Project Governance & Planning,"F01.02 Charter, Business Requirements, and Stakeholders","Check the work against acceptance criteria, document assumptions, and record evidence for Finalize the project charter.",,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.02; Charter; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design,docs/project_charter.md,
US01.02.02,F01.02,User Story,Create the business requirements document,New,Sprint 0-1,Phase 1,E01 Project Governance & Planning,"F01.02 Charter, Business Requirements, and Stakeholders","As a operational stakeholder, I want create the business requirements document so that analytical needs are captured in business language.",Deliverable exists at docs/business_requirements.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.02; BRD; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design,docs/business_requirements.md,
T01.02.02.1,US01.02.02,Task,Draft/build artifact for Create the business requirements document,New,Sprint 0-1,Phase 1,E01 Project Governance & Planning,"F01.02 Charter, Business Requirements, and Stakeholders",Create the first complete version of the artifact or implementation for Create the business requirements document.,,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.02; BRD; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design,docs/business_requirements.md,
T01.02.02.2,US01.02.02,Task,Validate and document Create the business requirements document,New,Sprint 0-1,Phase 1,E01 Project Governance & Planning,"F01.02 Charter, Business Requirements, and Stakeholders","Check the work against acceptance criteria, document assumptions, and record evidence for Create the business requirements document.",,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.02; BRD; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design,docs/business_requirements.md,
US01.02.03,F01.02,User Story,Create the stakeholder matrix,New,Sprint 0-1,Phase 1,E01 Project Governance & Planning,"F01.02 Charter, Business Requirements, and Stakeholders","As a project owner, I want create the stakeholder matrix so that users, owners, stewards, and reviewers are identified.",Deliverable exists at docs/stakeholder_matrix.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.02; Stakeholders; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design,docs/stakeholder_matrix.md,
T01.02.03.1,US01.02.03,Task,Draft/build artifact for Create the stakeholder matrix,New,Sprint 0-1,Phase 1,E01 Project Governance & Planning,"F01.02 Charter, Business Requirements, and Stakeholders",Create the first complete version of the artifact or implementation for Create the stakeholder matrix.,,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.02; Stakeholders; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design,docs/stakeholder_matrix.md,
T01.02.03.2,US01.02.03,Task,Validate and document Create the stakeholder matrix,New,Sprint 0-1,Phase 1,E01 Project Governance & Planning,"F01.02 Charter, Business Requirements, and Stakeholders","Check the work against acceptance criteria, document assumptions, and record evidence for Create the stakeholder matrix.",,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.02; Stakeholders; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design,docs/stakeholder_matrix.md,
F01.03,E01,Feature,Architecture and Governance Baseline,New,Sprint 0-1,Phase 1,E01 Project Governance & Planning,F01.03 Architecture and Governance Baseline,Document the target platform architecture and governance assumptions.,"Feature is complete when the architecture overview, KPI dictionary skeleton, governance plan, and security/public-portfolio assumptions establish the baseline design before build work begins.",ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.03; Architecture; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design,,
US01.03.01,F01.03,User Story,Draft the architecture overview,New,Sprint 0-1,Phase 1,E01 Project Governance & Planning,F01.03 Architecture and Governance Baseline,"As a technical reviewer, I want draft the architecture overview so that the end-to-end architecture is understandable before build begins.",Deliverable exists at docs/architecture_overview.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.03; Architecture; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design,docs/architecture_overview.md,
T01.03.01.1,US01.03.01,Task,Draft/build artifact for Draft the architecture overview,New,Sprint 0-1,Phase 1,E01 Project Governance & Planning,F01.03 Architecture and Governance Baseline,Create the first complete version of the artifact or implementation for Draft the architecture overview.,,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.03; Architecture; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design,docs/architecture_overview.md,
T01.03.01.2,US01.03.01,Task,Validate and document Draft the architecture overview,New,Sprint 0-1,Phase 1,E01 Project Governance & Planning,F01.03 Architecture and Governance Baseline,"Check the work against acceptance criteria, document assumptions, and record evidence for Draft the architecture overview.",,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.03; Architecture; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design,docs/architecture_overview.md,
US01.03.02,F01.03,User Story,Create the KPI dictionary skeleton,New,Sprint 0-1,Phase 1,E01 Project Governance & Planning,F01.03 Architecture and Governance Baseline,"As a data steward, I want create the kpi dictionary skeleton so that future metrics have a standard definition template.",Deliverable exists at docs/kpi_dictionary.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.03; KPI; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design,docs/kpi_dictionary.md,
T01.03.02.1,US01.03.02,Task,Draft/build artifact for Create the KPI dictionary skeleton,New,Sprint 0-1,Phase 1,E01 Project Governance & Planning,F01.03 Architecture and Governance Baseline,Create the first complete version of the artifact or implementation for Create the KPI dictionary skeleton.,,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.03; KPI; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design,docs/kpi_dictionary.md,
T01.03.02.2,US01.03.02,Task,Validate and document Create the KPI dictionary skeleton,New,Sprint 0-1,Phase 1,E01 Project Governance & Planning,F01.03 Architecture and Governance Baseline,"Check the work against acceptance criteria, document assumptions, and record evidence for Create the KPI dictionary skeleton.",,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.03; KPI; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design,docs/kpi_dictionary.md,
US01.03.03,F01.03,User Story,Draft the data governance plan,New,Sprint 0-1,Phase 1,E01 Project Governance & Planning,F01.03 Architecture and Governance Baseline,"As a data steward, I want draft the data governance plan so that governance responsibilities are treated as part of delivery.",Deliverable exists at docs/data_governance_plan.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.03; Governance; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design,docs/data_governance_plan.md,
T01.03.03.1,US01.03.03,Task,Draft/build artifact for Draft the data governance plan,New,Sprint 0-1,Phase 1,E01 Project Governance & Planning,F01.03 Architecture and Governance Baseline,Create the first complete version of the artifact or implementation for Draft the data governance plan.,,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.03; Governance; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design,docs/data_governance_plan.md,
T01.03.03.2,US01.03.03,Task,Validate and document Draft the data governance plan,New,Sprint 0-1,Phase 1,E01 Project Governance & Planning,F01.03 Architecture and Governance Baseline,"Check the work against acceptance criteria, document assumptions, and record evidence for Draft the data governance plan.",,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.03; Governance; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design,docs/data_governance_plan.md,
US01.03.04,F01.03,User Story,Define security and public portfolio safety assumptions,New,Sprint 0-1,Phase 1,E01 Project Governance & Planning,F01.03 Architecture and Governance Baseline,"As a security reviewer, I want define security and public portfolio safety assumptions so that synthetic-data handling and repository safety are explicit.",Deliverable exists at docs/security_model.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.03; Security; Portfolio-Safe; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design,docs/security_model.md,
T01.03.04.1,US01.03.04,Task,Draft/build artifact for Define security and public portfolio safety assumptions,New,Sprint 0-1,Phase 1,E01 Project Governance & Planning,F01.03 Architecture and Governance Baseline,Create the first complete version of the artifact or implementation for Define security and public portfolio safety assumptions.,,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.03; Security; Portfolio-Safe; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design,docs/security_model.md,
T01.03.04.2,US01.03.04,Task,Validate and document Define security and public portfolio safety assumptions,New,Sprint 0-1,Phase 1,E01 Project Governance & Planning,F01.03 Architecture and Governance Baseline,"Check the work against acceptance criteria, document assumptions, and record evidence for Define security and public portfolio safety assumptions.",,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.03; Security; Portfolio-Safe; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design,docs/security_model.md,
F02.01,E02,Feature,Synthea Dataset Generation,New,Sprint 2,Phase 2,E02 Source Data Foundation,F02.01 Synthea Dataset Generation,Generate or acquire the synthetic EHR source dataset reproducibly.,"Feature is complete when Synthea generation settings are selected, source files are available locally, and the dataset can be regenerated or replaced using documented steps.",ClinicalPulse; Sprint-2; Phase-2; E02; F02.01; Synthea; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation,,
US02.01.01,F02.01,User Story,Choose Synthea generation settings,New,Sprint 2,Phase 2,E02 Source Data Foundation,F02.01 Synthea Dataset Generation,"As a BI developer, I want choose synthea generation settings so that the synthetic dataset has documented geography, seed, population, and export format.",Deliverable exists at docs/generate_synthea_data.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-2; Phase-2; E02; F02.01; Synthea; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation,docs/generate_synthea_data.md,
T02.01.01.1,US02.01.01,Task,Draft/build artifact for Choose Synthea generation settings,New,Sprint 2,Phase 2,E02 Source Data Foundation,F02.01 Synthea Dataset Generation,Create the first complete version of the artifact or implementation for Choose Synthea generation settings.,,ClinicalPulse; Sprint-2; Phase-2; E02; F02.01; Synthea; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation,docs/generate_synthea_data.md,
T02.01.01.2,US02.01.01,Task,Validate and document Choose Synthea generation settings,New,Sprint 2,Phase 2,E02 Source Data Foundation,F02.01 Synthea Dataset Generation,"Check the work against acceptance criteria, document assumptions, and record evidence for Choose Synthea generation settings.",,ClinicalPulse; Sprint-2; Phase-2; E02; F02.01; Synthea; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation,docs/generate_synthea_data.md,
US02.01.02,F02.01,User Story,Generate or acquire selected Synthea CSV files,New,Sprint 2,Phase 2,E02 Source Data Foundation,F02.01 Synthea Dataset Generation,"As a BI developer, I want generate or acquire selected synthea csv files so that the expected source files are available locally for ingestion.",Deliverable exists at data/raw/; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-2; Phase-2; E02; F02.01; Synthea; CSV; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation,data/raw/,
T02.01.02.1,US02.01.02,Task,Draft/build artifact for Generate or acquire selected Synthea CSV files,New,Sprint 2,Phase 2,E02 Source Data Foundation,F02.01 Synthea Dataset Generation,Create the first complete version of the artifact or implementation for Generate or acquire selected Synthea CSV files.,,ClinicalPulse; Sprint-2; Phase-2; E02; F02.01; Synthea; CSV; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation,data/raw/,
T02.01.02.2,US02.01.02,Task,Validate and document Generate or acquire selected Synthea CSV files,New,Sprint 2,Phase 2,E02 Source Data Foundation,F02.01 Synthea Dataset Generation,"Check the work against acceptance criteria, document assumptions, and record evidence for Generate or acquire selected Synthea CSV files.",,ClinicalPulse; Sprint-2; Phase-2; E02; F02.01; Synthea; CSV; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation,data/raw/,
US02.01.03,F02.01,User Story,Document source acquisition and regeneration steps,New,Sprint 2,Phase 2,E02 Source Data Foundation,F02.01 Synthea Dataset Generation,"As a reviewer, I want document source acquisition and regeneration steps so that the dataset can be recreated or replaced without confusion.",Deliverable exists at docs/generate_synthea_data.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-2; Phase-2; E02; F02.01; Reproducibility; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation,docs/generate_synthea_data.md,
T02.01.03.1,US02.01.03,Task,Draft/build artifact for Document source acquisition and regeneration steps,New,Sprint 2,Phase 2,E02 Source Data Foundation,F02.01 Synthea Dataset Generation,Create the first complete version of the artifact or implementation for Document source acquisition and regeneration steps.,,ClinicalPulse; Sprint-2; Phase-2; E02; F02.01; Reproducibility; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation,docs/generate_synthea_data.md,
T02.01.03.2,US02.01.03,Task,Validate and document Document source acquisition and regeneration steps,New,Sprint 2,Phase 2,E02 Source Data Foundation,F02.01 Synthea Dataset Generation,"Check the work against acceptance criteria, document assumptions, and record evidence for Document source acquisition and regeneration steps.",,ClinicalPulse; Sprint-2; Phase-2; E02; F02.01; Reproducibility; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation,docs/generate_synthea_data.md,
F02.02,E02,Feature,Source Inventory and Profiling,New,Sprint 2,Phase 2,E02 Source Data Foundation,F02.02 Source Inventory and Profiling,Inventory and profile selected Synthea source entities before ingestion.,"Feature is complete when selected source entities have an inventory, row counts, expected keys, profiling notes, and version-1 versus optional expansion scope documented.",ClinicalPulse; Sprint-2; Phase-2; E02; F02.02; Source; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation,,
US02.02.01,F02.02,User Story,Create source file inventory,New,Sprint 2,Phase 2,E02 Source Data Foundation,F02.02 Source Inventory and Profiling,"As a data engineer, I want create source file inventory so that all selected source files, row counts, and expected keys are documented.",Deliverable exists at docs/source_file_inventory.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-2; Phase-2; E02; F02.02; Inventory; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation,docs/source_file_inventory.md,
T02.02.01.1,US02.02.01,Task,Draft/build artifact for Create source file inventory,New,Sprint 2,Phase 2,E02 Source Data Foundation,F02.02 Source Inventory and Profiling,Create the first complete version of the artifact or implementation for Create source file inventory.,,ClinicalPulse; Sprint-2; Phase-2; E02; F02.02; Inventory; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation,docs/source_file_inventory.md,
T02.02.01.2,US02.02.01,Task,Validate and document Create source file inventory,New,Sprint 2,Phase 2,E02 Source Data Foundation,F02.02 Source Inventory and Profiling,"Check the work against acceptance criteria, document assumptions, and record evidence for Create source file inventory.",,ClinicalPulse; Sprint-2; Phase-2; E02; F02.02; Inventory; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation,docs/source_file_inventory.md,
US02.02.02,F02.02,User Story,Profile core clinical and operational source files,New,Sprint 2,Phase 2,E02 Source Data Foundation,F02.02 Source Inventory and Profiling,"As a data analyst, I want profile core clinical and operational source files so that patients, encounters, conditions, observations, procedures, organizations, and providers are understood.",Deliverable exists at docs/source_entity_profile.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-2; Phase-2; E02; F02.02; Profiling; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation,docs/source_entity_profile.md,
T02.02.02.1,US02.02.02,Task,Draft/build artifact for Profile core clinical and operational source files,New,Sprint 2,Phase 2,E02 Source Data Foundation,F02.02 Source Inventory and Profiling,Create the first complete version of the artifact or implementation for Profile core clinical and operational source files.,,ClinicalPulse; Sprint-2; Phase-2; E02; F02.02; Profiling; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation,docs/source_entity_profile.md,
