Feature External ID,Parent Epic External ID,Feature Title,Success Criteria,Tags
F05.03,E05,"Data Assets, Lineage, and Scorecards","Feature is complete when the data asset catalog, lineage document, scorecards, dashboard catalog, ownership assumptions, and readiness ratings describe trust and usage for key assets.",ClinicalPulse; Sprint-4-6; Phase-4-6; E05; F05.03; Data
F06.01,E06,Power BI Semantic Model,"Feature is complete when Power BI connects to gold tables/views, relationships and date logic are modeled cleanly, DAX measures are documented, and dashboard values reconcile to SQL validation outputs.",ClinicalPulse; Sprint-6; Phase-6; E06; F06.01; Power
F06.02,E06,Dashboard Pages,"Feature is complete when dashboard pages for Executive Overview, Patient Flow/LOS, Readmissions, Conditions & Procedures, Lab Operations, Data Quality/Governance, and FHIR API demonstration are built and screenshot evidence exists.",ClinicalPulse; Sprint-6; Phase-6; E06; F06.02; Dashboard
F06.03,E06,Report Polish and Evidence,"Feature is complete when dashboard screenshots, interpretation notes, UX/accessibility checks, and validation evidence make the report understandable to portfolio reviewers and stakeholders.",ClinicalPulse; Sprint-6; Phase-6; E06; F06.03; Report
F07.01,E07,FHIR Mapping and API SQL Views,"Feature is complete when relational ClinicalPulse entities are mapped to FHIR-style resources and API SQL views prepare Patient, Encounter, Observation, Condition, Procedure, Organization, and Practitioner-style outputs.",ClinicalPulse; Sprint-7; Phase-7; E07; F07.01; FHIR
F07.02,E07,FastAPI Service,"Feature is complete when the FastAPI application exposes read-only health, metadata, FHIR-style resource, patient-scoped query, and aggregate metrics endpoints using organized service modules.",ClinicalPulse; Sprint-7; Phase-7; E07; F07.02; FastAPI
F07.03,E07,Testing and API Documentation,"Feature is complete when endpoint tests, FHIR-shape tests, sample JSON responses, and API reference documentation demonstrate expected API behavior and limitations.",ClinicalPulse; Sprint-7; Phase-7; E07; F07.03; Testing
F08.01,E08,README and Architecture Story,"Feature is complete when the README, architecture diagram, and public portfolio safety section clearly explain the project thesis, stack, architecture flow, synthetic-data boundaries, and excluded artifacts.",ClinicalPulse; Sprint-8; Phase-8; E08; F08.01; README
F08.02,E08,Adoption and Stakeholder Enablement,"Feature is complete when the adoption plan, dashboard user guide, and change-control loop explain how users would learn, interpret, provide feedback on, and request changes to the reporting product.",ClinicalPulse; Sprint-8; Phase-8; E08; F08.02; Adoption
F08.03,E08,Final Portfolio Packaging,"Feature is complete when final walkthrough, repository cleanup, release checklist, resume bullets, interview talking points, screenshots, validation logs, and final release evidence are ready for external review.",ClinicalPulse; Sprint-8; Phase-8; E08; F08.03; Final
F09.01,E09,Test Automation,"Feature is complete when pytest coverage exists for quality rules, API endpoints, FHIR-style response shapes, configuration assumptions, and secrets/repository safety checks.",ClinicalPulse; Sprint-9; Phase-9; E09; F09.01; Test
F09.02,E09,CI Pipeline,"Feature is complete when an Azure Pipeline YAML runs tests, lint or hygiene checks, documentation-existence checks, and forbidden-file checks for raw data, .env files, backups, and unsafe artifacts.",ClinicalPulse; Sprint-9; Phase-9; E09; F09.02; CI
F09.03,E09,DevOps Evidence,"Feature is complete when pipeline results, README status notes or badge, screenshots, and a DevOps retrospective document delivery discipline, limitations, and future improvements.",ClinicalPulse; Sprint-9; Phase-9; E09; F09.03; DevOps
