External ID,Parent External ID,Work Item Type,Title,Suggested Area Path,Exact Iteration Path,AP Tag,IP Tag,Original Sprint Label,Exact Sprint Assignment,Assignment Policy Note
T01.01.01.2,US01.01.01,Task,Validate and document Create Azure DevOps project structure,ClinicalPulse\Governance & Planning,ClinicalPulse\Sprint 0 - Project Setup,AP-ClinicalPulse\Governance & Planning,IP-ClinicalPulse\Sprint 0 - Project Setup,Sprint 0-1,Sprint 0,Split Sprint 0-1 into Sprint 0 for DevOps setup items and Sprint 1 for governance/design items; E01 assigned to Sprint 1 as the completion/primary governance sprint.
US01.01.02,F01.01,User Story,"Define epics, features, sprint cadence, and tags",ClinicalPulse\Governance & Planning,ClinicalPulse\Sprint 0 - Project Setup,AP-ClinicalPulse\Governance & Planning,IP-ClinicalPulse\Sprint 0 - Project Setup,Sprint 0-1,Sprint 0,Split Sprint 0-1 into Sprint 0 for DevOps setup items and Sprint 1 for governance/design items; E01 assigned to Sprint 1 as the completion/primary governance sprint.
T01.01.02.1,US01.01.02,Task,"Draft/build artifact for Define epics, features, sprint cadence, and tags",ClinicalPulse\Governance & Planning,ClinicalPulse\Sprint 0 - Project Setup,AP-ClinicalPulse\Governance & Planning,IP-ClinicalPulse\Sprint 0 - Project Setup,Sprint 0-1,Sprint 0,Split Sprint 0-1 into Sprint 0 for DevOps setup items and Sprint 1 for governance/design items; E01 assigned to Sprint 1 as the completion/primary governance sprint.
T01.01.02.2,US01.01.02,Task,"Validate and document Define epics, features, sprint cadence, and tags",ClinicalPulse\Governance & Planning,ClinicalPulse\Sprint 0 - Project Setup,AP-ClinicalPulse\Governance & Planning,IP-ClinicalPulse\Sprint 0 - Project Setup,Sprint 0-1,Sprint 0,Split Sprint 0-1 into Sprint 0 for DevOps setup items and Sprint 1 for governance/design items; E01 assigned to Sprint 1 as the completion/primary governance sprint.
US01.01.03,F01.01,User Story,Document GitHub and Azure Boards traceability conventions,ClinicalPulse\Governance & Planning,ClinicalPulse\Sprint 0 - Project Setup,AP-ClinicalPulse\Governance & Planning,IP-ClinicalPulse\Sprint 0 - Project Setup,Sprint 0-1,Sprint 0,Split Sprint 0-1 into Sprint 0 for DevOps setup items and Sprint 1 for governance/design items; E01 assigned to Sprint 1 as the completion/primary governance sprint.
T01.01.03.1,US01.01.03,Task,Draft/build artifact for Document GitHub and Azure Boards traceability conventions,ClinicalPulse\Governance & Planning,ClinicalPulse\Sprint 0 - Project Setup,AP-ClinicalPulse\Governance & Planning,IP-ClinicalPulse\Sprint 0 - Project Setup,Sprint 0-1,Sprint 0,Split Sprint 0-1 into Sprint 0 for DevOps setup items and Sprint 1 for governance/design items; E01 assigned to Sprint 1 as the completion/primary governance sprint.
T01.01.03.2,US01.01.03,Task,Validate and document Document GitHub and Azure Boards traceability conventions,ClinicalPulse\Governance & Planning,ClinicalPulse\Sprint 0 - Project Setup,AP-ClinicalPulse\Governance & Planning,IP-ClinicalPulse\Sprint 0 - Project Setup,Sprint 0-1,Sprint 0,Split Sprint 0-1 into Sprint 0 for DevOps setup items and Sprint 1 for governance/design items; E01 assigned to Sprint 1 as the completion/primary governance sprint.
F01.02,E01,Feature,"Charter, Business Requirements, and Stakeholders",ClinicalPulse\Governance & Planning,ClinicalPulse\Sprint 1 - Governance and Design,AP-ClinicalPulse\Governance & Planning,IP-ClinicalPulse\Sprint 1 - Governance and Design,Sprint 0-1,Sprint 1,Split Sprint 0-1 into Sprint 0 for DevOps setup items and Sprint 1 for governance/design items; E01 assigned to Sprint 1 as the completion/primary governance sprint.
US01.02.01,F01.02,User Story,Finalize the project charter,ClinicalPulse\Governance & Planning,ClinicalPulse\Sprint 1 - Governance and Design,AP-ClinicalPulse\Governance & Planning,IP-ClinicalPulse\Sprint 1 - Governance and Design,Sprint 0-1,Sprint 1,Split Sprint 0-1 into Sprint 0 for DevOps setup items and Sprint 1 for governance/design items; E01 assigned to Sprint 1 as the completion/primary governance sprint.
T01.02.01.1,US01.02.01,Task,Draft/build artifact for Finalize the project charter,ClinicalPulse\Governance & Planning,ClinicalPulse\Sprint 1 - Governance and Design,AP-ClinicalPulse\Governance & Planning,IP-ClinicalPulse\Sprint 1 - Governance and Design,Sprint 0-1,Sprint 1,Split Sprint 0-1 into Sprint 0 for DevOps setup items and Sprint 1 for governance/design items; E01 assigned to Sprint 1 as the completion/primary governance sprint.
T01.02.01.2,US01.02.01,Task,Validate and document Finalize the project charter,ClinicalPulse\Governance & Planning,ClinicalPulse\Sprint 1 - Governance and Design,AP-ClinicalPulse\Governance & Planning,IP-ClinicalPulse\Sprint 1 - Governance and Design,Sprint 0-1,Sprint 1,Split Sprint 0-1 into Sprint 0 for DevOps setup items and Sprint 1 for governance/design items; E01 assigned to Sprint 1 as the completion/primary governance sprint.
US01.02.02,F01.02,User Story,Create the business requirements document,ClinicalPulse\Governance & Planning,ClinicalPulse\Sprint 1 - Governance and Design,AP-ClinicalPulse\Governance & Planning,IP-ClinicalPulse\Sprint 1 - Governance and Design,Sprint 0-1,Sprint 1,Split Sprint 0-1 into Sprint 0 for DevOps setup items and Sprint 1 for governance/design items; E01 assigned to Sprint 1 as the completion/primary governance sprint.
T01.02.02.1,US01.02.02,Task,Draft/build artifact for Create the business requirements document,ClinicalPulse\Governance & Planning,ClinicalPulse\Sprint 1 - Governance and Design,AP-ClinicalPulse\Governance & Planning,IP-ClinicalPulse\Sprint 1 - Governance and Design,Sprint 0-1,Sprint 1,Split Sprint 0-1 into Sprint 0 for DevOps setup items and Sprint 1 for governance/design items; E01 assigned to Sprint 1 as the completion/primary governance sprint.
T01.02.02.2,US01.02.02,Task,Validate and document Create the business requirements document,ClinicalPulse\Governance & Planning,ClinicalPulse\Sprint 1 - Governance and Design,AP-ClinicalPulse\Governance & Planning,IP-ClinicalPulse\Sprint 1 - Governance and Design,Sprint 0-1,Sprint 1,Split Sprint 0-1 into Sprint 0 for DevOps setup items and Sprint 1 for governance/design items; E01 assigned to Sprint 1 as the completion/primary governance sprint.
US01.02.03,F01.02,User Story,Create the stakeholder matrix,ClinicalPulse\Governance & Planning,ClinicalPulse\Sprint 1 - Governance and Design,AP-ClinicalPulse\Governance & Planning,IP-ClinicalPulse\Sprint 1 - Governance and Design,Sprint 0-1,Sprint 1,Split Sprint 0-1 into Sprint 0 for DevOps setup items and Sprint 1 for governance/design items; E01 assigned to Sprint 1 as the completion/primary governance sprint.
T01.02.03.1,US01.02.03,Task,Draft/build artifact for Create the stakeholder matrix,ClinicalPulse\Governance & Planning,ClinicalPulse\Sprint 1 - Governance and Design,AP-ClinicalPulse\Governance & Planning,IP-ClinicalPulse\Sprint 1 - Governance and Design,Sprint 0-1,Sprint 1,Split Sprint 0-1 into Sprint 0 for DevOps setup items and Sprint 1 for governance/design items; E01 assigned to Sprint 1 as the completion/primary governance sprint.
T01.02.03.2,US01.02.03,Task,Validate and document Create the stakeholder matrix,ClinicalPulse\Governance & Planning,ClinicalPulse\Sprint 1 - Governance and Design,AP-ClinicalPulse\Governance & Planning,IP-ClinicalPulse\Sprint 1 - Governance and Design,Sprint 0-1,Sprint 1,Split Sprint 0-1 into Sprint 0 for DevOps setup items and Sprint 1 for governance/design items; E01 assigned to Sprint 1 as the completion/primary governance sprint.
F01.03,E01,Feature,Architecture and Governance Baseline,ClinicalPulse\Governance & Planning,ClinicalPulse\Sprint 1 - Governance and Design,AP-ClinicalPulse\Governance & Planning,IP-ClinicalPulse\Sprint 1 - Governance and Design,Sprint 0-1,Sprint 1,Split Sprint 0-1 into Sprint 0 for DevOps setup items and Sprint 1 for governance/design items; E01 assigned to Sprint 1 as the completion/primary governance sprint.
US01.03.01,F01.03,User Story,Draft the architecture overview,ClinicalPulse\Governance & Planning,ClinicalPulse\Sprint 1 - Governance and Design,AP-ClinicalPulse\Governance & Planning,IP-ClinicalPulse\Sprint 1 - Governance and Design,Sprint 0-1,Sprint 1,Split Sprint 0-1 into Sprint 0 for DevOps setup items and Sprint 1 for governance/design items; E01 assigned to Sprint 1 as the completion/primary governance sprint.
T01.03.01.1,US01.03.01,Task,Draft/build artifact for Draft the architecture overview,ClinicalPulse\Governance & Planning,ClinicalPulse\Sprint 1 - Governance and Design,AP-ClinicalPulse\Governance & Planning,IP-ClinicalPulse\Sprint 1 - Governance and Design,Sprint 0-1,Sprint 1,Split Sprint 0-1 into Sprint 0 for DevOps setup items and Sprint 1 for governance/design items; E01 assigned to Sprint 1 as the completion/primary governance sprint.
T01.03.01.2,US01.03.01,Task,Validate and document Draft the architecture overview,ClinicalPulse\Governance & Planning,ClinicalPulse\Sprint 1 - Governance and Design,AP-ClinicalPulse\Governance & Planning,IP-ClinicalPulse\Sprint 1 - Governance and Design,Sprint 0-1,Sprint 1,Split Sprint 0-1 into Sprint 0 for DevOps setup items and Sprint 1 for governance/design items; E01 assigned to Sprint 1 as the completion/primary governance sprint.
US01.03.02,F01.03,User Story,Create the KPI dictionary skeleton,ClinicalPulse\Governance & Planning,ClinicalPulse\Sprint 1 - Governance and Design,AP-ClinicalPulse\Governance & Planning,IP-ClinicalPulse\Sprint 1 - Governance and Design,Sprint 0-1,Sprint 1,Split Sprint 0-1 into Sprint 0 for DevOps setup items and Sprint 1 for governance/design items; E01 assigned to Sprint 1 as the completion/primary governance sprint.
T01.03.02.1,US01.03.02,Task,Draft/build artifact for Create the KPI dictionary skeleton,ClinicalPulse\Governance & Planning,ClinicalPulse\Sprint 1 - Governance and Design,AP-ClinicalPulse\Governance & Planning,IP-ClinicalPulse\Sprint 1 - Governance and Design,Sprint 0-1,Sprint 1,Split Sprint 0-1 into Sprint 0 for DevOps setup items and Sprint 1 for governance/design items; E01 assigned to Sprint 1 as the completion/primary governance sprint.
T01.03.02.2,US01.03.02,Task,Validate and document Create the KPI dictionary skeleton,ClinicalPulse\Governance & Planning,ClinicalPulse\Sprint 1 - Governance and Design,AP-ClinicalPulse\Governance & Planning,IP-ClinicalPulse\Sprint 1 - Governance and Design,Sprint 0-1,Sprint 1,Split Sprint 0-1 into Sprint 0 for DevOps setup items and Sprint 1 for governance/design items; E01 assigned to Sprint 1 as the completion/primary governance sprint.
US01.03.03,F01.03,User Story,Draft the data governance plan,ClinicalPulse\Governance & Planning,ClinicalPulse\Sprint 1 - Governance and Design,AP-ClinicalPulse\Governance & Planning,IP-ClinicalPulse\Sprint 1 - Governance and Design,Sprint 0-1,Sprint 1,Split Sprint 0-1 into Sprint 0 for DevOps setup items and Sprint 1 for governance/design items; E01 assigned to Sprint 1 as the completion/primary governance sprint.
T01.03.03.1,US01.03.03,Task,Draft/build artifact for Draft the data governance plan,ClinicalPulse\Governance & Planning,ClinicalPulse\Sprint 1 - Governance and Design,AP-ClinicalPulse\Governance & Planning,IP-ClinicalPulse\Sprint 1 - Governance and Design,Sprint 0-1,Sprint 1,Split Sprint 0-1 into Sprint 0 for DevOps setup items and Sprint 1 for governance/design items; E01 assigned to Sprint 1 as the completion/primary governance sprint.
T01.03.03.2,US01.03.03,Task,Validate and document Draft the data governance plan,ClinicalPulse\Governance & Planning,ClinicalPulse\Sprint 1 - Governance and Design,AP-ClinicalPulse\Governance & Planning,IP-ClinicalPulse\Sprint 1 - Governance and Design,Sprint 0-1,Sprint 1,Split Sprint 0-1 into Sprint 0 for DevOps setup items and Sprint 1 for governance/design items; E01 assigned to Sprint 1 as the completion/primary governance sprint.
US01.03.04,F01.03,User Story,Define security and public portfolio safety assumptions,ClinicalPulse\Governance & Planning,ClinicalPulse\Sprint 1 - Governance and Design,AP-ClinicalPulse\Governance & Planning,IP-ClinicalPulse\Sprint 1 - Governance and Design,Sprint 0-1,Sprint 1,Split Sprint 0-1 into Sprint 0 for DevOps setup items and Sprint 1 for governance/design items; E01 assigned to Sprint 1 as the completion/primary governance sprint.
T01.03.04.1,US01.03.04,Task,Draft/build artifact for Define security and public portfolio safety assumptions,ClinicalPulse\Governance & Planning,ClinicalPulse\Sprint 1 - Governance and Design,AP-ClinicalPulse\Governance & Planning,IP-ClinicalPulse\Sprint 1 - Governance and Design,Sprint 0-1,Sprint 1,Split Sprint 0-1 into Sprint 0 for DevOps setup items and Sprint 1 for governance/design items; E01 assigned to Sprint 1 as the completion/primary governance sprint.
T01.03.04.2,US01.03.04,Task,Validate and document Define security and public portfolio safety assumptions,ClinicalPulse\Governance & Planning,ClinicalPulse\Sprint 1 - Governance and Design,AP-ClinicalPulse\Governance & Planning,IP-ClinicalPulse\Sprint 1 - Governance and Design,Sprint 0-1,Sprint 1,Split Sprint 0-1 into Sprint 0 for DevOps setup items and Sprint 1 for governance/design items; E01 assigned to Sprint 1 as the completion/primary governance sprint.
F02.01,E02,Feature,Synthea Dataset Generation,ClinicalPulse\Source Data,ClinicalPulse\Sprint 2 - Source Data Foundation,AP-ClinicalPulse\Source Data,IP-ClinicalPulse\Sprint 2 - Source Data Foundation,Sprint 2,Sprint 2,Direct mapping from original sprint label.
US02.01.01,F02.01,User Story,Choose Synthea generation settings,ClinicalPulse\Source Data,ClinicalPulse\Sprint 2 - Source Data Foundation,AP-ClinicalPulse\Source Data,IP-ClinicalPulse\Sprint 2 - Source Data Foundation,Sprint 2,Sprint 2,Direct mapping from original sprint label.
T02.01.01.1,US02.01.01,Task,Draft/build artifact for Choose Synthea generation settings,ClinicalPulse\Source Data,ClinicalPulse\Sprint 2 - Source Data Foundation,AP-ClinicalPulse\Source Data,IP-ClinicalPulse\Sprint 2 - Source Data Foundation,Sprint 2,Sprint 2,Direct mapping from original sprint label.
T02.01.01.2,US02.01.01,Task,Validate and document Choose Synthea generation settings,ClinicalPulse\Source Data,ClinicalPulse\Sprint 2 - Source Data Foundation,AP-ClinicalPulse\Source Data,IP-ClinicalPulse\Sprint 2 - Source Data Foundation,Sprint 2,Sprint 2,Direct mapping from original sprint label.
US02.01.02,F02.01,User Story,Generate or acquire selected Synthea CSV files,ClinicalPulse\Source Data,ClinicalPulse\Sprint 2 - Source Data Foundation,AP-ClinicalPulse\Source Data,IP-ClinicalPulse\Sprint 2 - Source Data Foundation,Sprint 2,Sprint 2,Direct mapping from original sprint label.
T02.01.02.1,US02.01.02,Task,Draft/build artifact for Generate or acquire selected Synthea CSV files,ClinicalPulse\Source Data,ClinicalPulse\Sprint 2 - Source Data Foundation,AP-ClinicalPulse\Source Data,IP-ClinicalPulse\Sprint 2 - Source Data Foundation,Sprint 2,Sprint 2,Direct mapping from original sprint label.
T02.01.02.2,US02.01.02,Task,Validate and document Generate or acquire selected Synthea CSV files,ClinicalPulse\Source Data,ClinicalPulse\Sprint 2 - Source Data Foundation,AP-ClinicalPulse\Source Data,IP-ClinicalPulse\Sprint 2 - Source Data Foundation,Sprint 2,Sprint 2,Direct mapping from original sprint label.
US02.01.03,F02.01,User Story,Document source acquisition and regeneration steps,ClinicalPulse\Source Data,ClinicalPulse\Sprint 2 - Source Data Foundation,AP-ClinicalPulse\Source Data,IP-ClinicalPulse\Sprint 2 - Source Data Foundation,Sprint 2,Sprint 2,Direct mapping from original sprint label.
T02.01.03.1,US02.01.03,Task,Draft/build artifact for Document source acquisition and regeneration steps,ClinicalPulse\Source Data,ClinicalPulse\Sprint 2 - Source Data Foundation,AP-ClinicalPulse\Source Data,IP-ClinicalPulse\Sprint 2 - Source Data Foundation,Sprint 2,Sprint 2,Direct mapping from original sprint label.
T02.01.03.2,US02.01.03,Task,Validate and document Document source acquisition and regeneration steps,ClinicalPulse\Source Data,ClinicalPulse\Sprint 2 - Source Data Foundation,AP-ClinicalPulse\Source Data,IP-ClinicalPulse\Sprint 2 - Source Data Foundation,Sprint 2,Sprint 2,Direct mapping from original sprint label.
F02.02,E02,Feature,Source Inventory and Profiling,ClinicalPulse\Source Data,ClinicalPulse\Sprint 2 - Source Data Foundation,AP-ClinicalPulse\Source Data,IP-ClinicalPulse\Sprint 2 - Source Data Foundation,Sprint 2,Sprint 2,Direct mapping from original sprint label.
US02.02.01,F02.02,User Story,Create source file inventory,ClinicalPulse\Source Data,ClinicalPulse\Sprint 2 - Source Data Foundation,AP-ClinicalPulse\Source Data,IP-ClinicalPulse\Sprint 2 - Source Data Foundation,Sprint 2,Sprint 2,Direct mapping from original sprint label.
T02.02.01.1,US02.02.01,Task,Draft/build artifact for Create source file inventory,ClinicalPulse\Source Data,ClinicalPulse\Sprint 2 - Source Data Foundation,AP-ClinicalPulse\Source Data,IP-ClinicalPulse\Sprint 2 - Source Data Foundation,Sprint 2,Sprint 2,Direct mapping from original sprint label.
T02.02.01.2,US02.02.01,Task,Validate and document Create source file inventory,ClinicalPulse\Source Data,ClinicalPulse\Sprint 2 - Source Data Foundation,AP-ClinicalPulse\Source Data,IP-ClinicalPulse\Sprint 2 - Source Data Foundation,Sprint 2,Sprint 2,Direct mapping from original sprint label.
US02.02.02,F02.02,User Story,Profile core clinical and operational source files,ClinicalPulse\Source Data,ClinicalPulse\Sprint 2 - Source Data Foundation,AP-ClinicalPulse\Source Data,IP-ClinicalPulse\Sprint 2 - Source Data Foundation,Sprint 2,Sprint 2,Direct mapping from original sprint label.
T02.02.02.1,US02.02.02,Task,Draft/build artifact for Profile core clinical and operational source files,ClinicalPulse\Source Data,ClinicalPulse\Sprint 2 - Source Data Foundation,AP-ClinicalPulse\Source Data,IP-ClinicalPulse\Sprint 2 - Source Data Foundation,Sprint 2,Sprint 2,Direct mapping from original sprint label.
T02.02.02.2,US02.02.02,Task,Validate and document Profile core clinical and operational source files,ClinicalPulse\Source Data,ClinicalPulse\Sprint 2 - Source Data Foundation,AP-ClinicalPulse\Source Data,IP-ClinicalPulse\Sprint 2 - Source Data Foundation,Sprint 2,Sprint 2,Direct mapping from original sprint label.
US02.02.03,F02.02,User Story,Identify optional entities for later expansion,ClinicalPulse\Source Data,ClinicalPulse\Sprint 2 - Source Data Foundation,AP-ClinicalPulse\Source Data,IP-ClinicalPulse\Sprint 2 - Source Data Foundation,Sprint 2,Sprint 2,Direct mapping from original sprint label.
T02.02.03.1,US02.02.03,Task,Draft/build artifact for Identify optional entities for later expansion,ClinicalPulse\Source Data,ClinicalPulse\Sprint 2 - Source Data Foundation,AP-ClinicalPulse\Source Data,IP-ClinicalPulse\Sprint 2 - Source Data Foundation,Sprint 2,Sprint 2,Direct mapping from original sprint label.
T02.02.03.2,US02.02.03,Task,Validate and document Identify optional entities for later expansion,ClinicalPulse\Source Data,ClinicalPulse\Sprint 2 - Source Data Foundation,AP-ClinicalPulse\Source Data,IP-ClinicalPulse\Sprint 2 - Source Data Foundation,Sprint 2,Sprint 2,Direct mapping from original sprint label.
F02.03,E02,Feature,Data Handling and Repository Safety,ClinicalPulse\Source Data,ClinicalPulse\Sprint 2 - Source Data Foundation,AP-ClinicalPulse\Source Data,IP-ClinicalPulse\Sprint 2 - Source Data Foundation,Sprint 2,Sprint 2,Direct mapping from original sprint label.
US02.03.01,F02.03,User Story,"Update .gitignore for raw data, secrets, and local artifacts",ClinicalPulse\Source Data,ClinicalPulse\Sprint 2 - Source Data Foundation,AP-ClinicalPulse\Source Data,IP-ClinicalPulse\Sprint 2 - Source Data Foundation,Sprint 2,Sprint 2,Direct mapping from original sprint label.
T02.03.01.1,US02.03.01,Task,"Draft/build artifact for Update .gitignore for raw data, secrets, and local artifacts",ClinicalPulse\Source Data,ClinicalPulse\Sprint 2 - Source Data Foundation,AP-ClinicalPulse\Source Data,IP-ClinicalPulse\Sprint 2 - Source Data Foundation,Sprint 2,Sprint 2,Direct mapping from original sprint label.
T02.03.01.2,US02.03.01,Task,"Validate and document Update .gitignore for raw data, secrets, and local artifacts",ClinicalPulse\Source Data,ClinicalPulse\Sprint 2 - Source Data Foundation,AP-ClinicalPulse\Source Data,IP-ClinicalPulse\Sprint 2 - Source Data Foundation,Sprint 2,Sprint 2,Direct mapping from original sprint label.
US02.03.02,F02.03,User Story,Create safe sample data policy,ClinicalPulse\Source Data,ClinicalPulse\Sprint 2 - Source Data Foundation,AP-ClinicalPulse\Source Data,IP-ClinicalPulse\Sprint 2 - Source Data Foundation,Sprint 2,Sprint 2,Direct mapping from original sprint label.
T02.03.02.1,US02.03.02,Task,Draft/build artifact for Create safe sample data policy,ClinicalPulse\Source Data,ClinicalPulse\Sprint 2 - Source Data Foundation,AP-ClinicalPulse\Source Data,IP-ClinicalPulse\Sprint 2 - Source Data Foundation,Sprint 2,Sprint 2,Direct mapping from original sprint label.
T02.03.02.2,US02.03.02,Task,Validate and document Create safe sample data policy,ClinicalPulse\Source Data,ClinicalPulse\Sprint 2 - Source Data Foundation,AP-ClinicalPulse\Source Data,IP-ClinicalPulse\Sprint 2 - Source Data Foundation,Sprint 2,Sprint 2,Direct mapping from original sprint label.
US02.03.03,F02.03,User Story,Document synthetic-data limitations and disclaimers,ClinicalPulse\Source Data,ClinicalPulse\Sprint 2 - Source Data Foundation,AP-ClinicalPulse\Source Data,IP-ClinicalPulse\Sprint 2 - Source Data Foundation,Sprint 2,Sprint 2,Direct mapping from original sprint label.
T02.03.03.1,US02.03.03,Task,Draft/build artifact for Document synthetic-data limitations and disclaimers,ClinicalPulse\Source Data,ClinicalPulse\Sprint 2 - Source Data Foundation,AP-ClinicalPulse\Source Data,IP-ClinicalPulse\Sprint 2 - Source Data Foundation,Sprint 2,Sprint 2,Direct mapping from original sprint label.
T02.03.03.2,US02.03.03,Task,Validate and document Document synthetic-data limitations and disclaimers,ClinicalPulse\Source Data,ClinicalPulse\Sprint 2 - Source Data Foundation,AP-ClinicalPulse\Source Data,IP-ClinicalPulse\Sprint 2 - Source Data Foundation,Sprint 2,Sprint 2,Direct mapping from original sprint label.
F03.01,E03,Feature,Database and Schema Foundation,ClinicalPulse\SQL Server,ClinicalPulse\Sprint 3 - SQL Server Ingestion,AP-ClinicalPulse\SQL Server,IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion,Sprint 3,Sprint 3,Direct mapping from original sprint label.
US03.01.01,F03.01,User Story,Create database and schema scripts,ClinicalPulse\SQL Server,ClinicalPulse\Sprint 3 - SQL Server Ingestion,AP-ClinicalPulse\SQL Server,IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion,Sprint 3,Sprint 3,Direct mapping from original sprint label.
T03.01.01.1,US03.01.01,Task,Draft/build artifact for Create database and schema scripts,ClinicalPulse\SQL Server,ClinicalPulse\Sprint 3 - SQL Server Ingestion,AP-ClinicalPulse\SQL Server,IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion,Sprint 3,Sprint 3,Direct mapping from original sprint label.
T03.01.01.2,US03.01.01,Task,Validate and document Create database and schema scripts,ClinicalPulse\SQL Server,ClinicalPulse\Sprint 3 - SQL Server Ingestion,AP-ClinicalPulse\SQL Server,IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion,Sprint 3,Sprint 3,Direct mapping from original sprint label.
T03.01.01.3,US03.01.01,Task,Commit and link implementation evidence for Create database and schema scripts,ClinicalPulse\SQL Server,ClinicalPulse\Sprint 3 - SQL Server Ingestion,AP-ClinicalPulse\SQL Server,IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion,Sprint 3,Sprint 3,Direct mapping from original sprint label.
US03.01.02,F03.01,User Story,Define SQL naming and scripting standards,ClinicalPulse\SQL Server,ClinicalPulse\Sprint 3 - SQL Server Ingestion,AP-ClinicalPulse\SQL Server,IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion,Sprint 3,Sprint 3,Direct mapping from original sprint label.
